id,name,size.bytecode,size.static
18,__wasm_call_ctors,6,808
19,undefined_weak:__wasilibc_find_relpath_alloc,4,504
20,_start,70,984
21,BZ2_blockSort,1394,2176
22,fallbackSort,6110,3328
23,mainSort,11392,5224
24,fallbackQSort3,4977,2840
25,mainQSort3,6378,3984
26,fallbackSimpleSort,1415,1096
27,mainSimpleSort,2612,2184
28,mmed3,354,632
29,mainGtU,9439,2528
30,main,8309,8920
31,copyFileName,272,1216
32,addFlagsFromEnvVar,870,1560
33,snocString,391,1272
34,license,103,984
35,usage,125,1016
36,redundant,132,920
37,compress,5100,5128
38,uncompress,5908,5032
39,setExit,111,544
40,testf,2224,2736
41,__isspace,142,552
42,mkCell,119,936
43,myMalloc,145,976
44,panic,130,968
45,containsDubiousChars,51,536
46,fileExists,220,1016
47,hasSuffix,296,1152
48,notAStandardFile,236,1000
49,countHardLinks,172,960
50,saveInputFileMetaInfo,116,984
51,fopen_output_safely,293,1128
52,pad,289,1200
53,compressStream,2254,3544
54,applySavedTimeInfoToOutputFile,175,1016
55,ioError,133,992
56,mapSuffix,292,1200
57,uncompressStream,3008,4104
58,testStream,1922,2888
59,outOfMemory,110,936
60,showFileNames,188,920
61,cleanUpAndFail,1223,1856
62,myfeof,201,1016
63,applySavedFileAttrToOutputFile,33,536
64,uInt64_from_UInt32s,377,704
65,uInt64_to_double,280,1616
66,uInt64_toAscii,492,1240
67,configError,82,928
68,uInt64_qrm10,282,680
69,uInt64_isZero,214,800
70,crcError,116,968
71,compressedStreamEOF,207,1040
72,cadvise,116,856
73,BZ2_bz__AssertH__fail,203,1088
74,BZ2_bzlibVersion,17,520
75,BZ2_bzCompressInit,2224,2576
76,bz_config_ok,12,520
77,default_bzalloc,120,960
78,default_bzfree,126,896
79,init_RL,70,560
80,prepare_new_block,271,664
81,BZ2_bzCompress,1628,1704
82,handle_compress,1109,1592
83,isempty_RL,183,584
84,copy_output_until_stop,464,784
85,copy_input_until_stop,2552,2024
86,flush_RL,143,984
87,BZ2_bzCompressEnd,682,1384
88,BZ2_bzDecompressInit,927,1512
89,BZ2_indexIntoF,282,664
90,BZ2_bzDecompress,1760,1872
91,unRLE_obuf_to_output_SMALL,10313,4920
92,unRLE_obuf_to_output_FAST,8757,3760
93,BZ2_bzDecompressEnd,688,1392
94,BZ2_bzWriteOpen,1796,1800
95,BZ2_bzWrite,2053,1848
96,BZ2_bzWriteClose64,2733,2424
97,BZ2_bzReadOpen,2155,1936
98,BZ2_bzReadClose,695,1184
99,BZ2_bzRead,2752,2200
100,myfeof,202,1016
101,BZ2_bzReadGetUnused,830,768
102,add_pair_to_block,1450,1120
103,BZ2_bsInitWrite,71,568
104,BZ2_compressBlock,1761,2624
105,bsPutUChar,109,912
106,bsPutUInt32,268,1168
107,bsW,394,760
108,generateMTFValues,2669,1976
109,sendMTFValues,57639,21664
110,bsFinishWrite,259,672
111,makeMaps_e,319,648
112,BZ2_decompress,56835,24624
113,makeMaps_d,322,656
114,BZ2_hbMakeCodeLengths,6161,3320
115,BZ2_hbAssignCodes,430,808
116,BZ2_hbCreateDecodeTables,1796,1208
117,malloc,12,808
118,dlmalloc,6541,9304
119,free,12,808
120,dlfree,1698,2224
121,calloc,108,984
122,close,34,864
123,_Exit,13,792
124,__main_void,214,1400
125,__wasi_args_get,18,816
126,__wasi_args_sizes_get,18,824
127,__wasi_environ_get,18,824
128,__wasi_environ_sizes_get,18,824
129,__wasi_fd_close,16,824
130,__wasi_fd_fdstat_get,18,824
131,__wasi_fd_fdstat_set_flags,18,824
132,__wasi_fd_prestat_get,18,824
133,__wasi_fd_prestat_dir_name,20,824
134,__wasi_fd_read,22,824
135,__wasi_fd_seek,22,824
136,__wasi_fd_write,22,824
137,__wasi_path_filestat_get,30,952
138,__wasi_path_filestat_set_times,34,976
139,__wasi_path_open,38,992
140,__wasi_path_remove_directory,26,928
141,__wasi_path_unlink_file,26,928
142,__wasi_proc_exit,12,792
143,__isatty,104,968
144,__wasilibc_nocwd_openat_nomode,283,1240
145,__wasilibc_nocwd_fstatat,426,1488
146,__wasilibc_nocwd_utimensat,531,1768
147,__wasilibc_nocwd___wasilibc_unlinkat,36,864
148,__wasilibc_nocwd___wasilibc_rmdirat,37,864
149,open,163,1024
150,__wasilibc_open_nomode,163,1024
151,stat,165,1032
152,lstat,165,1032
153,utime,225,1128
154,remove,246,1160
155,abort,6,504
156,internal_register_preopened_fd,280,1320
157,__wasilibc_find_relpath,95,904
158,__wasilibc_find_abspath,313,1408
159,__wasilibc_populate_preopens,182,1296
160,sbrk,79,888
161,__wasilibc_ensure_environ,27,824
162,__wasilibc_initialize_environ,194,1360
163,getenv,154,1120
164,strerror,86,904
165,dummy,3,512
166,__wasm_call_dtors,15,864
167,exit,24,896
168,dummy,5,512
169,__lctrans,14,808
170,fcntl,276,1504
171,__fdopen,390,1712
172,__stdio_close,14,840
173,readv,114,984
174,read,114,984
175,__stdio_read,253,1224
176,__lseek,101,976
177,__stdio_seek,18,840
178,writev,115,984
179,__stdio_write,316,1368
180,dummy,4,512
181,fclose,153,1288
182,ferror,15,536
183,fflush,362,1648
184,__stdio_exit,389,1712
185,__toread,134,1056
186,__uflow,85,1032
187,fgetc,47,864
188,fileno,35,552
189,__fmodeflags,102,1032
190,fopen,102,1112
191,fprintf,57,904
192,fread,197,1288
193,__towrite,94,624
194,__fwritex,234,1368
195,fwrite,278,1384
196,__ofl_lock,9,520
197,__ofl_unlock,3,512
198,__ofl_add,57,952
199,__overflow,165,1192
200,fputc,70,904
201,perror,178,1320
202,__fseeko_unlocked,173,1176
203,rewind,29,864
204,__stdout_write,60,1008
205,ungetc,106,984
206,wcrtomb,311,856
207,wctomb,26,848
208,frexp,144,1200
209,fputs,38,944
210,vfprintf,398,1568
211,printf_core,9070,18952
212,pop_arg,565,1808
213,pad,159,1168
214,long_double_not_supported,30,856
215,memchr,371,800
216,memcmp,75,584
217,memcpy,1000,1824
218,memset,393,1200
219,strcat,25,920
220,strchr,31,864
221,__strchrnul,354,1144
222,strcmp,105,600
223,__stpcpy,374,776
224,strcpy,16,840
225,strdup,48,960
226,strlen,179,648
227,strncmp,145,624
228,__stpncpy,496,1280
229,strncpy,18,840
230,strnlen,28,880
231,strstr,359,1320
232,fourbyte_strstr,180,648
233,twoway_strstr,999,2080
234,__muloti4,406,1576
235,__multi3,118,640
236,__ashlti3,85,592
237,__udivmodti4,897,1840
238,__udivti3,76,944
