id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
18,_start,70,984,72211,0,0,4358951,984,56000,0,0,999999999999,999999999999,999999999999
16,__wasm_call_ctors,6,808,4432111,0,1,1832735,808,59270,0,1,999999999999,999999999999,999999999999
300,__wasilibc_populate_preopens,182,1296,6265396,0,1,5575224,1296,59690,0,1,999999999999,999999999999,999999999999
276,__wasi_fd_prestat_get,18,824,11841310,0,3,1943515,824,61440,0,3,999999999999,999999999999,999999999999
255,malloc,12,808,13789135,0,26,1809845,808,66310,0,26,999999999999,999999999999,999999999999
256,dlmalloc,6541,9304,15599830,0,28,100468668,9304,66840,0,28,999999999999,999999999999,999999999999
277,__wasi_fd_prestat_dir_name,20,824,116076618,0,2,1997205,824,88980,0,2,999999999999,999999999999,999999999999
297,internal_register_preopened_fd,280,1320,118076663,0,2,5788795,1320,90180,0,2,999999999999,999999999999,999999999999
259,calloc,109,984,123866188,0,2,3368409,984,93080,0,2,999999999999,999999999999,999999999999
424,memset,393,1200,127235537,0,64,9218043,1200,96820,0,64,999999999999,999999999999,999999999999
423,memcpy,1000,1824,136454541,0,1390,14617738,1824,99360,0,1390,999999999999,999999999999,999999999999
257,free,12,808,151073318,0,17,1707584,808,100791,0,17,999999999999,999999999999,999999999999
258,dlfree,1698,2224,152781532,0,17,23523071,2224,101131,0,17,999999999999,999999999999,999999999999
431,strdup,48,960,176305843,0,2,2534306,960,102311,0,2,999999999999,999999999999,999999999999
432,strlen,179,648,178840859,0,5830,4702343,648,102620,20000000,5830,999999999999,999999999999,999999999999
267,__main_void,214,1400,183549932,0,1,4669621,1400,121740,0,1,999999999999,999999999999,999999999999
270,__wasi_args_sizes_get,18,824,188220403,0,1,1821505,824,122371,0,1,999999999999,999999999999,999999999999
269,__wasi_args_get,18,816,190044218,0,1,1931065,816,129731,0,1,999999999999,999999999999,999999999999
110,main,3911,7376,191976773,0,1,27571401,7376,130920,0,1,999999999999,999999999999,999999999999
111,init_path(),166,1064,219557604,0,1,3034458,1064,151841,0,1,999999999999,999999999999,999999999999
319,getenv,154,1120,222592652,0,1,4824972,1120,152751,0,1,999999999999,999999999999,999999999999
317,__wasilibc_ensure_environ,27,824,227418664,0,1,2077956,824,153161,0,1,999999999999,999999999999,999999999999
318,__wasilibc_initialize_environ,194,1360,229497350,0,1,4659832,1360,153971,0,1,999999999999,999999999999,999999999999
272,__wasi_environ_sizes_get,18,824,234157922,0,1,1937654,824,154581,0,1,999999999999,999999999999,999999999999
427,__strchrnul,354,1144,236096916,0,141,7300249,1144,155741,0,141,999999999999,999999999999,999999999999
