id,name,size.bytecode,size.static
16,__wasm_call_ctors,6,808
17,undefined_weak:__wasilibc_find_relpath_alloc,4,504
18,_start,70,984
19,"compile_line(char*, char*, int*)",4909,4440
20,"strchr[abi:v160000](char*, int) [enable_if:true]",95,912
21,compile_dictlist_start(),375,1120
22,compile_dictlist_end(_IO_FILE*),487,1248
23,"compile_dictlist_file(char const*, char const*)",1126,1960
24,"copy_rule_string(char*, int&)",2865,4568
25,compile_rule(char*),3780,4952
26,"output_rule_group(_IO_FILE*, int, char**, char*)",990,2432
27,"string_sorter(char**, char**)",109,920
28,"compile_dictrules(_IO_FILE*, _IO_FILE*)",2566,2992
29,"CompileDictionary(char const*, char const*, _IO_FILE*, char*)",1554,2584
30,"fopen_log(char const*, char const*)",264,1120
31,"strncpy0(char*, char const*, int)",151,960
32,"LookupMnem(MNEM_TAB*, char*)",245,1032
33,"LookupMnem(MNEM_TAB*, int)",227,640
34,Translator::LoadDictionary(char const*),1307,1984
35,Translator::InitGroups(),1436,1720
36,HashDictionary(char const*),287,688
37,"EncodePhonemes(char*, char*, char*)",2089,2008
38,"DecodePhonemes(char const*, char*)",762,840
39,"Translator::WriteMnemonic(int*, int)",273,656
40,"Translator::GetTranslatedPhonemeString(char*, int)",1386,1656
41,Translator::Unpronouncable(char*),832,1520
42,Translator::IsVowel(int),101,920
43,"Translator::IsLetter(int, int)",527,672
44,"Translator::SetLetterBits(int, char const*)",221,664
45,"GetVowelStress(unsigned char*, unsigned char*, int&, int&)",2734,1528
46,"ChangeWordStress(char*, int)",1121,1440
47,"Translator::SetWordStress(char*, unsigned int, int, int)",10058,3984
48,"Translator::DecodeRule(char const*, char*)",2311,2800
49,"Translator::AppendPhonemes(char*, char const*)",807,1168
50,"Translator::MatchRule(char**, char const*, char*, MatchRecord*, int)",7730,7832
51,"Translator::TranslateRules(char*, char*, char*, int)",4155,3824
52,"TransposeAlphabet(char*, int, int, int)",1352,1688
53,print_dflags(int),170,1032
54,"Translator::LookupDict2(char*, char*, char*, unsigned int*, int)",3540,3368
55,"Translator::LookupDictList(char*, char*, unsigned int*, int)",1876,2008
56,"Translator::Lookup(char*, char*)",119,944
57,"Translator::RemoveEnding(char*, int)",2195,2384
58,"Translator::LookupNum2(int, int, char*)",2351,2544
59,"Translator::LookupNum3(int, char*, int, int, int)",1978,2800
60,"Translator::LookupThousands(int, int, char*)",456,1536
61,"Translator::TranslateNumber_1(char*, char*, unsigned int*, int)",4187,4296
62,"Translator::TranslateNumber(char*, char*, unsigned int*, int)",295,1040
63,Translator::CalcPitches_Tone(int),1184,1072
64,Translator::CalcPitches(int),2937,2096
65,count_pitch_vowels(),1342,960
66,"calc_pitchesX(int*, int, int)",874,1400
67,"calc_pitches(int*, int, int)",1044,1520
68,"calc_pitch_segmentX(int, int, TONE_TABLE*, int)",1181,1648
69,"set_pitch(int, int, int)",686,800
70,"calc_pitch_segment2(int, int, int, int, int)",836,1416
71,"calc_pitch_segment(int, int, TONE_TABLE*, int)",1955,1872
72,"count_increments(int, int, int)",323,680
73,Eof(),210,936
74,Translator::LookupSpecial(char*),349,1248
75,Translator::LookupCharName(int),323,1168
76,"Translator::AnnouncePunctuation(int, int, char*, int)",1736,2712
77,LookupSoundicon(int),368,1064
78,UngetC(int),165,896
79,GetC(),1413,1552
80,"LoadSoundFile(char const*, int)",959,1760
81,GetC_get(),619,1136
82,GetC_unget(int),221,920
83,AddNameData(char const*),509,1232
84,"Translator::ReadClause(_IO_FILE*, char*, unsigned short*, int)",9363,7568
85,"ProcessSsmlTag(wchar_t*, char*, int&, int, int)",6955,8360
86,"wcschr[abi:v160000](wchar_t*, wchar_t) [enable_if:true]",99,912
87,PushParamStack(int),345,656
88,"GetSsmlAttribute(wchar_t*, char const*)",695,1408
89,"attrcmp(wchar_t const*, char const*)",514,664
90,"attrlookup(wchar_t const*, MNEM_TAB const*)",356,1088
91,"ProcessParamStack(char*, int&)",1337,2032
92,"SetProsodyParameter(int, wchar_t*, PARAM_STACK*)",720,1256
93,"PopParamStack(int, char*, int&)",438,1096
94,"attrnumber(wchar_t const*, int, int)",445,1352
95,"attrcopy_utf8(char*, wchar_t const*, int)",518,1216
96,"GetVoiceAttributes(wchar_t*, int)",1096,2040
