id,name,size.bytecode,size.static
14,__wasm_call_ctors,14,928
15,undefined_weak:thread-local initialization routine for errno,4,504
16,undefined_weak:__wasilibc_find_relpath_alloc,4,504
17,_start,70,984
18,stbi_load,334,1536
19,"stbi__load_and_postprocess_8bit(stbi__context*, int*, int*, int*, int)",624,5048
20,"stbi__load_main(stbi__context*, int*, int*, int*, int, stbi__result_info*, int)",9587,40504
21,stbi__gif_test(stbi__context*),1152,2688
22,"stbi__gif_load_next(stbi__context*, stbi__gif*, int*, int, unsigned char*)",4653,8416
23,"stbi__convert_format(unsigned char*, int, int, unsigned int, unsigned int)",3368,11912
24,stbi__hdr_test(stbi__context*),556,1720
25,"stbi__hdr_load(stbi__context*, int*, int*, int*, int, stbi__result_info*)",2404,6312
26,"stbi__do_zlib(stbi__zbuf*, char*, int, int, int)",5722,7536
27,"stbi__zbuild_huffman(stbi__zhuffman*, unsigned char const*, int)",1016,2040
28,"stbi__decode_jpeg_header(stbi__jpeg*, int)",303,1496
29,"stbi__parse_png_file(stbi__png*, int, int)",5318,9832
30,"stbi__gif_header(stbi__context*, stbi__gif*, int*, int)",1954,3928
31,"stbi__bmp_parse_header(stbi__context*, stbi__bmp_data*)",1641,4608
32,"stbi__pnm_info(stbi__context*, int*, int*, int*)",1757,3984
33,stbi__get16be(stbi__context*),394,1424
34,main,701,2480
35,"stbi__stdio_read(void*, char*, int)",17,840
36,"stbi__stdio_skip(void*, int)",45,992
37,stbi__stdio_eof(void*),38,920
38,"stbi__convert_format16(unsigned short*, int, int, unsigned int, unsigned int)",3615,11560
39,stbi__get16le(stbi__context*),393,1416
40,"stbi__skip(stbi__context*, int)",129,1000
41,stbi__pic_test(stbi__context*),650,3480
42,"stbi__pic_load(stbi__context*, int*, int*, int*, int, stbi__result_info*)",2869,5728
43,stbi__jpeg_test(stbi__context*),172,1136
44,"stbi__jpeg_load(stbi__context*, int*, int*, int*, int, stbi__result_info*)",9908,16984
45,stbi__pnm_test(stbi__context*),425,1472
46,"stbi__pnm_load(stbi__context*, int*, int*, int*, int, stbi__result_info*)",620,1840
47,"stbi__hdr_to_ldr(float*, int, int, int)",481,2624
48,stbi__tga_test(stbi__context*),1315,2976
49,"stbi__tga_load(stbi__context*, int*, int*, int*, int, stbi__result_info*)",3878,10648
50,stbi__get32be(stbi__context*),23,912
51,"stbi__mad3sizes_valid(int, int, int, int)",104,616
52,"stbi__malloc_mad3(int, int, int, int)",120,944
53,"stbi__psd_decode_rle(stbi__context*, unsigned char*, int)",852,1648
54,stbi__high_bit(unsigned int),117,608
55,stbi__bitcount(unsigned int),82,584
56,"stbi__readval(stbi__context*, int, unsigned char*)",341,1552
57,"stbi__resample_row_hv_2(unsigned char*, unsigned char*, unsigned char*, int, int)",242,1896
58,"stbi__YCbCr_to_RGB_row(unsigned char*, unsigned char const*, unsigned char const*, unsigned char const*, int, int)",245,2224
59,"stbi__idct_block(unsigned char*, int, short*)",1193,2304
60,stbi__get_marker(stbi__jpeg*),460,1536
61,"stbi__jpeg_decode_block(stbi__jpeg*, short*, stbi__huffman*, stbi__huffman*, short*, int, unsigned short*)",640,1840
62,stbi__grow_buffer_unsafe(stbi__jpeg*),702,1984
63,"stbi__jpeg_decode_block_prog_dc(stbi__jpeg*, short*, stbi__huffman*, int)",408,1464
64,"resample_row_1(unsigned char*, unsigned char*, unsigned char*, int, int)",6,520
