id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
16,_start,70,984,72540,0,0,4315191,984,61420,0,0,999999999999,999999999999,999999999999
14,__wasm_call_ctors,6,808,4388612,0,1,1817294,808,64720,0,1,999999999999,999999999999,999999999999
164,__wasilibc_populate_preopens,182,1296,6206416,0,1,5555844,1296,65090,0,1,999999999999,999999999999,999999999999
147,__wasi_fd_prestat_get,18,824,11762990,0,2,1933965,824,66890,0,2,999999999999,999999999999,999999999999
130,malloc,12,808,13701295,0,5,1807145,808,72070,0,5,999999999999,999999999999,999999999999
131,dlmalloc,6541,9304,15509110,0,9,99422875,9304,72650,0,9,999999999999,999999999999,999999999999
148,__wasi_fd_prestat_dir_name,20,824,114940175,0,1,2012175,824,93270,0,1,999999999999,999999999999,999999999999
161,internal_register_preopened_fd,280,1320,116955010,0,1,5817415,1320,94850,0,1,999999999999,999999999999,999999999999
134,calloc,109,984,122773185,0,2,3339428,984,95920,0,2,999999999999,999999999999,999999999999
253,memset,393,1200,126113463,80000000,1369219,9171404,1200,99530,20240000000,1369229,999999999999,999999999999,999999999999
252,memcpy,1000,1824,135285767,0,4929,14603727,1824,102310,10000000,4929,999999999999,999999999999,999999999999
132,free,12,808,149890664,0,8,1728914,808,103800,0,8,999999999999,999999999999,999999999999
133,dlfree,1698,2224,151620398,0,8,23315541,2224,104160,0,8,999999999999,999999999999,999999999999
261,strdup,48,960,174937069,0,1,2504086,960,105430,0,1,999999999999,999999999999,999999999999
262,strlen,179,648,177442215,0,103,4652872,648,105760,0,103,999999999999,999999999999,999999999999
140,__main_void,214,1400,182099287,0,1,4609041,1400,113670,0,1,999999999999,999999999999,999999999999
142,__wasi_args_sizes_get,18,824,186708958,0,1,1828705,824,114360,0,1,999999999999,999999999999,999999999999
141,__wasi_args_get,18,816,188539923,0,1,1898605,816,120620,0,1,999999999999,999999999999,999999999999
72,main,532,1920,190439858,0,1,9715055,1920,121650,0,1,999999999999,999999999999,999999999999
138,time,93,976,200155693,0,1,2864817,976,122320,0,1,999999999999,999999999999,999999999999
143,__wasi_clock_time_get,20,824,203021380,0,24,1925505,824,122950,0,24,999999999999,999999999999,999999999999
174,srand,18,528,204955165,0,1,1720005,528,127370,0,1,999999999999,999999999999,999999999999
129,ShowVersion,108,928,206675910,0,1,2764137,928,128310,0,1,999999999999,999999999999,999999999999
212,printf,60,912,209440667,0,125,2311685,912,129190,0,125,999999999999,999999999999,999999999999
222,vfprintf,398,1568,211753032,0,340,6975068,1568,129780,0,340,999999999999,999999999999,999999999999
223,printf_core,9070,18952,218728920,0,680,213440687,18952,130940,10000000,680,999999999999,999999999999,999999999999
