id,name,size.bytecode,size.static
14,__wasm_call_ctors,6,808
15,undefined_weak:__wasilibc_find_relpath_alloc,4,504
16,_start,70,984
17,SqAtakd,631,1176
18,GenAtaks,1707,2688
19,AttackTo,614,1208
20,AttackXTo,686,1320
21,AttackXFrom,1102,1728
22,PinnedOnKing,557,1000
23,FindPins,1971,2600
24,MateScan,663,1672
25,BookBuilderOpen,719,2552
26,read_book,593,1528
27,BookBuilder,544,1496
28,BookBuilderClose,668,1872
29,BookQuery,3434,7320
30,compare,32,560
31,InputCmd,6376,13848
32,ShowHelp,361,1624
33,ShowCmd,1705,4208
34,TestCmd,256,1448
35,ReadEPDFile,286,1440
36,ParseEPD,3620,5928
37,LoadEPD,288,1448
38,SaveEPD,652,2208
39,ScoreP,3857,4976
40,nbits,95,576
41,ScoreN,1074,1936
42,ScoreB,1334,2160
43,BishopTrapped,318,1168
44,ScoreR,1584,2336
45,ScoreQ,1107,1896
46,ScoreK,3399,3952
47,LoneKing,390,1176
48,ScoreKBNK,586,1096
49,KPK,979,1368
50,ScoreDev,1375,1768
51,Evaluate,2118,3552
52,EvaluateDraw,840,1088
53,GenMoves,5274,6920
54,GenNonCaptures,3588,5208
55,GenCaptures,4392,4992
56,GenCheckEscapes,2469,3936
57,FilterIllegalMoves,219,1240
58,CalcHashKey,791,1512
59,EvalHung,278,816
60,Initialize,1915,4200
61,InitRay,1112,1896
62,InitFromToRay,1228,1880
63,InitSquarePawnMask,837,1360
64,InitRotAtak,3692,5096
65,InitDistance,612,1264
66,InitVars,1333,2312
67,InitHashCode,588,1928
68,InitHashTable,443,1672
69,NewPosition,100,944
70,Iterate,4385,7840
71,GetElapsed,79,1104
72,main,532,1920
73,MakeMove,2989,3312
74,UnmakeMove,1727,2264
75,SANMove,1003,2008
76,nbits,95,576
77,ValidateMove,2085,4808
78,IsInMoveList,119,1048
79,leadz,132,656
80,IsLegalMove,1192,1968
81,AlgbrMove,156,1040
82,MakeNullMove,178,672
83,UnmakeNullMove,82,584
84,ShowTime,4,512
85,ShowMoveList,183,1304
86,ShowBitBoard,366,1680
87,ShowBoard,1075,1976
88,ShowGame,392,1528
89,PGNSaveToFile,1000,2848
90,PGNReadFromFile,563,2184
91,BookPGNReadFromFile,1700,5192
92,scorecompare,91,648
93,namecompare,26,840
94,rscorecompare,83,648
95,DBListPlayer,409,2032
96,DBReadPlayer,221,1256
97,DBWritePlayer,213,1256
98,DBUpdatePlayer,498,1696
99,Quiesce,663,2248
100,Rand64,275,1072
101,Repeat,116,600
102,SearchRoot,1169,2736
103,Search,3549,7536
104,ShowLine,2769,5408
105,Solve,485,1984
106,SortCaptures,181,1048
107,SortMoves,527,1056
108,SortRoot,372,1288
109,pick,140,600
110,PhasePick,1344,2928
111,PhasePick1,280,744
112,SwapOff,1399,2656
113,AddXrayPiece,482,808
114,TestMoveGenSpeed,302,1616
115,TestCaptureGenSpeed,357,1832
116,TestMoveList,161,1216
117,TestCaptureList,161,1216
118,TestEvalSpeed,346,1824
119,TestEval,191,1224
120,TTPut,333,872
121,TTGet,257,776
122,TTGetPV,295,776
123,TTClear,63,968
124,PTClear,48,944
125,UpdateFriends,189,624
126,UpdateCBoard,263,1112
127,UpdateMvboard,139,600
128,ValidateBoard,608,1304
129,ShowVersion,108,928
130,malloc,12,808
131,dlmalloc,6541,9304
132,free,12,808
133,dlfree,1698,2224
134,calloc,109,984
135,realloc,1131,2192
136,dispose_chunk,1618,2120
137,gettimeofday,113,1016
138,time,93,976
139,_Exit,13,792
140,__main_void,214,1400
141,__wasi_args_get,18,816
142,__wasi_args_sizes_get,18,824
143,__wasi_clock_time_get,20,824
144,__wasi_fd_close,16,824
145,__wasi_fd_fdstat_get,18,824
146,__wasi_fd_fdstat_set_flags,18,824
147,__wasi_fd_prestat_get,18,824
148,__wasi_fd_prestat_dir_name,20,824
149,__wasi_fd_read,22,824
150,__wasi_fd_seek,22,824
151,__wasi_fd_write,22,824
152,__wasi_path_filestat_get,30,952
153,__wasi_path_open,38,992
154,__wasi_proc_exit,12,792
155,abort,6,504
156,__wasilibc_nocwd_openat_nomode,283,1240
157,__wasilibc_nocwd_faccessat,209,1160
158,close,35,864
159,__wasilibc_open_nomode,163,1024
160,access,165,1032
161,internal_register_preopened_fd,280,1320
162,__wasilibc_find_relpath,95,904
163,__wasilibc_find_abspath,313,1408
164,__wasilibc_populate_preopens,182,1296
165,sbrk,79,888
166,tolower,20,528
167,toupper,21,528
168,strerror,86,904
169,dummy,3,512
170,__wasm_call_dtors,15,864
171,exit,24,896
172,dummy,5,512
173,__lctrans,13,808
174,srand,18,528
175,rand,46,552
176,dummy,4,512
177,fclose,153,1288
178,feof,15,536
179,fflush,362,1648
180,__stdio_exit,389,1712
181,__toread,134,1056
182,__uflow,85,1032
183,fgetc,48,864
184,fgets,303,1384
185,__fmodeflags,103,1032
186,fcntl,275,1504
187,__isatty,103,968
188,__lseek,101,976
189,__stdio_seek,18,840
190,writev,115,984
191,__stdio_write,316,1368
192,readv,114,984
193,read,114,984
194,__stdio_read,253,1224
195,__stdio_close,15,840
196,__fdopen,390,1712
197,fopen,102,1112
198,fprintf,56,904
199,__towrite,94,624
200,__overflow,165,1192
201,fputc,69,904
202,fputs,38,944
203,fread,197,1288
204,fscanf,57,904
205,__fwritex,234,1368
206,fwrite,278,1384
207,getchar,63,872
208,__ofl_lock,9,520
209,__ofl_unlock,3,512
