id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
14,_start,84,992,60650,0,0,4576952,992,65870,0,0,999999999999,999999999999,999999999999
12,__wasm_call_ctors,3,512,4638462,0,1,1488914,512,69630,0,1,999999999999,999999999999,999999999999
32,__main_void,214,1400,6128036,0,1,5013252,1400,70020,0,1,999999999999,999999999999,999999999999
34,__wasi_args_sizes_get,18,824,11142028,0,1,1939715,824,71000,0,1,999999999999,999999999999,999999999999
25,malloc,12,808,13085253,0,13,1807925,808,77140,0,13,999999999999,999999999999,999999999999
26,dlmalloc,5377,8240,14893978,0,17,80529374,8240,77890,0,17,999999999999,999999999999,999999999999
30,calloc,108,984,95428152,0,4,3584539,984,88850,0,4,999999999999,999999999999,999999999999
108,memset,393,1200,99013961,0,19,9182814,1200,91930,0,19,999999999999,999999999999,999999999999
33,__wasi_args_get,18,816,108197795,0,1,1795374,816,93310,0,1,999999999999,999999999999,999999999999
16,main,729,2744,109994789,0,1,8712162,2744,94310,0,1,999999999999,999999999999,999999999999
19,mnist_get_dataset,222,1424,118707751,0,2,4844763,1424,95090,0,2,999999999999,999999999999,999999999999
18,get_images,718,2056,123553784,0,2,8491221,2056,100200,0,2,999999999999,999999999999,999999999999
80,fopen,102,1112,132045785,0,4,3340749,1112,100750,0,4,999999999999,999999999999,999999999999
105,memchr,371,800,135387404,0,8,7754289,800,101330,0,8,999999999999,999999999999,999999999999
61,__fmodeflags,103,1032,143142593,0,4,3060498,1032,102690,0,4,999999999999,999999999999,999999999999
109,strchr,31,864,146203951,0,16,2152085,864,105570,0,16,999999999999,999999999999,999999999999
110,__strchrnul,358,1144,148356637,0,16,7165999,1144,105910,0,16,999999999999,999999999999,999999999999
68,__wasilibc_open_nomode,163,1024,155524125,0,4,3059527,1024,109831,0,4,999999999999,999999999999,999999999999
64,__wasilibc_find_relpath,95,904,158584342,0,4,2435566,904,110520,0,4,999999999999,999999999999,999999999999
65,__wasilibc_find_abspath,344,1408,161023208,0,4,9053083,1408,122091,0,4,999999999999,999999999999,999999999999
62,__wasilibc_populate_preopens,226,1296,170077301,0,8,5296394,1296,122691,0,8,999999999999,999999999999,999999999999
38,__wasi_fd_prestat_get,18,824,175374385,0,3,1929485,824,123480,0,3,999999999999,999999999999,999999999999
39,__wasi_fd_prestat_dir_name,20,824,177307760,0,2,1905315,824,127611,0,2,999999999999,999999999999,999999999999
63,internal_register_preopened_fd_unlocked,280,1320,179214665,0,2,5891085,1320,128571,0,2,999999999999,999999999999,999999999999
107,memcpy,1008,1888,185107140,0,98,15474489,1888,134360,10000000,98,999999999999,999999999999,999999999999
