id,name,size.bytecode,size.static
12,__wasm_call_ctors,3,512
13,undefined_weak:__wasilibc_find_relpath_alloc,4,504
14,_start,84,992
15,calculate_accuracy,337,1816
16,main,729,2744
17,get_labels,503,1808
18,get_images,718,2056
19,mnist_get_dataset,222,1424
20,mnist_free_dataset,33,960
21,mnist_batch,95,624
22,neural_network_random_weights,102,1344
23,neural_network_hypothesis,612,2680
24,neural_network_training_step,600,2088
25,malloc,12,808
26,dlmalloc,5377,8240
27,prepend_alloc,1091,1680
28,free,12,808
29,dlfree,1713,2216
30,calloc,108,984
31,_Exit,13,792
32,__main_void,214,1400
33,__wasi_args_get,18,816
34,__wasi_args_sizes_get,18,824
35,__wasi_fd_close,16,824
36,__wasi_fd_fdstat_get,18,824
37,__wasi_fd_fdstat_set_flags,18,824
38,__wasi_fd_prestat_get,18,824
39,__wasi_fd_prestat_dir_name,20,824
40,__wasi_fd_read,22,824
41,__wasi_fd_seek,22,824
42,__wasi_fd_write,22,824
43,__wasi_path_open,38,992
44,__wasi_proc_exit,12,792
45,abort,5,504
46,sbrk,79,888
47,dummy,3,512
48,__wasm_call_dtors,15,864
49,__math_xflow,14,760
50,__math_uflow,20,832
51,__math_oflow,21,832
52,exp,361,1440
53,specialcase,160,1080
54,__math_divzero,24,752
55,__math_invalid,14,528
56,log,620,1768
57,rand,46,552
58,dummy,4,512
59,fclose,153,1288
60,fflush,361,1648
61,__fmodeflags,103,1032
62,__wasilibc_populate_preopens,226,1296
63,internal_register_preopened_fd_unlocked,280,1320
64,__wasilibc_find_relpath,95,904
65,__wasilibc_find_abspath,344,1408
66,__wasilibc_nocwd_openat_nomode,282,1240
67,close,41,936
68,__wasilibc_open_nomode,163,1024
69,fcntl,275,1504
70,__isatty,103,968
71,__lseek,101,976
72,__stdio_seek,18,840
73,writev,115,984
74,__stdio_write,316,1368
75,readv,114,984
76,read,114,984
77,__stdio_read,253,1224
78,__stdio_close,15,840
79,__fdopen,390,1712
80,fopen,102,1112
81,fprintf,57,904
82,__stdio_exit,389,1712
83,__toread,135,1056
84,fread,197,1288
85,__ofl_lock,9,520
86,__ofl_unlock,3,512
87,__ofl_add,53,944
88,printf,60,912
89,__stdout_write,60,1008
90,__towrite,94,624
91,__fwritex,238,1344
92,fwrite,289,1368
93,dummy,5,512
94,__lctrans,13,808
95,strerror,87,904
96,wcrtomb,311,856
97,wctomb,26,848
98,frexp,144,1200
99,fputs,38,944
100,vfprintf,398,1568
101,printf_core,8995,18856
102,pop_arg,565,1808
103,pad,159,1168
104,long_double_not_supported,30,856
105,memchr,371,800
106,memcmp,75,584
107,memcpy,1008,1888
108,memset,393,1200
109,strchr,31,864
110,__strchrnul,358,1144
111,strdup,48,960
112,strlen,205,656
113,strnlen,25,880
