id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
8,_start,70,976,63670,0,0,4355182,976,69150,0,0,999999999999,999999999999,999999999999
7,__wasm_call_ctors,3,512,4419832,0,1,1477964,512,72550,0,1,999999999999,999999999999,999999999999
68,__main_void,214,1392,5898466,0,1,5045662,1392,73060,0,1,999999999999,999999999999,999999999999
70,__wasi_args_sizes_get,18,824,10944828,0,1,1935515,824,74480,0,1,999999999999,999999999999,999999999999
62,malloc,12,808,12884013,0,2,1826605,808,78120,0,2,999999999999,999999999999,999999999999
63,dlmalloc,6541,9304,14711258,0,5,100403264,9304,78640,0,5,999999999999,999999999999,999999999999
66,calloc,108,984,115128032,0,3,3651069,984,90660,0,3,999999999999,999999999999,999999999999
114,memset,393,1200,118780501,630000000,8195,9228843,1200,94080,25570000000,8195,999999999999,999999999999,999999999999
69,__wasi_args_get,18,816,128010544,0,1,1803405,816,95650,0,1,999999999999,999999999999,999999999999
9,main,420,4032,129815749,0,1,16892243,4032,96680,0,1,999999999999,999999999999,999999999999
77,sbrk,79,888,146709262,0,3,2835107,888,100360,0,3,999999999999,999999999999,999999999999
22,snappy_max_compressed_length,11,808,771334803,0,1,2414746,808,25789412399,0,1,999999999999,999999999999,999999999999
10,snappy::MaxCompressedLength(unsigned long),15,536,773751139,0,2,1858616,536,25789415639,0,2,999999999999,999999999999,999999999999
21,snappy_compress,48,976,775610593,0,1,2710027,976,25789417849,0,1,999999999999,999999999999,999999999999
18,"snappy::RawCompress(char const*, unsigned long, char*, unsigned long*)",137,1112,778321671,0,1,3021598,1112,25789419619,0,1,999999999999,999999999999,999999999999
14,"snappy::Compress(snappy::Source*, snappy::Sink*)",1101,3472,781343948,0,1,20942393,3472,25789436239,0,1,999999999999,999999999999,999999999999
28,snappy::ByteArraySource::Available() const,8,528,802287511,0,2,1794164,528,25789438259,0,2,999999999999,999999999999,999999999999
32,"snappy::UncheckedByteArraySink::Append(char const*, unsigned long)",50,880,804082605,0,8193,2559607,880,25789441579,0,8193,999999999999,999999999999,999999999999
112,memcpy,1000,1824,806642882,60000000,16192,14935568,1824,25789443439,27420000000,16192,999999999999,999999999999,999999999999
60,operator new(unsigned long),243,1192,821580130,0,1,4782712,1192,25789449619,0,1,999999999999,999999999999,999999999999
29,snappy::ByteArraySource::Peek(unsigned long*),18,544,826371572,0,8199,1960525,544,25789469539,10000000,8199,999999999999,999999999999,999999999999
33,"snappy::UncheckedByteArraySink::GetAppendBuffer(unsigned long, char*)",8,528,828346747,0,8192,1801915,528,25789488039,0,8192,999999999999,999999999999,999999999999
12,"snappy::internal::CompressFragment(char const*, unsigned long, char*, unsigned short*, int)",3334,6848,830149642,0,8192,76746924,6848,25789489119,310000000,8192,999999999999,999999999999,999999999999
111,memcmp,75,584,906910176,270000000,11762,3672759,584,25792536687,90570000000,11762,999999999999,999999999999,999999999999
30,snappy::ByteArraySource::Skip(unsigned long),29,536,910619715,0,8202,1868215,536,25803182914,0,8202,999999999999,999999999999,999999999999
61,operator delete(void*),74,880,1258287786,0,1,2869868,880,145211924577,0,1,999999999999,999999999999,999999999999
64,free,12,808,1261160263,0,1,1704764,808,145211926837,0,1,999999999999,999999999999,999999999999
65,dlfree,1698,2224,1262866017,0,1,23921120,2224,145211927497,0,1,999999999999,999999999999,999999999999
26,snappy::Sink::~Sink(),5,512,1286789657,0,1,1411544,512,145211931557,0,1,999999999999,999999999999,999999999999
25,snappy::Source::~Source(),5,512,1288202141,0,2,1337023,512,145211932297,0,2,999999999999,999999999999,999999999999
90,puts,109,984,1289540274,0,2,3045998,984,145211934817,0,2,999999999999,999999999999,999999999999
88,fputs,38,944,1292587932,0,2,2307206,944,145211935747,0,2,999999999999,999999999999,999999999999
116,strlen,178,648,1294895738,0,2,4818922,648,145211936397,0,2,999999999999,999999999999,999999999999
87,fwrite,278,1384,1299716170,0,2,7762270,1384,145211939587,0,2,999999999999,999999999999,999999999999
85,__towrite,94,624,1307479739,0,1,3040418,624,145211940757,0,1,999999999999,999999999999,999999999999
89,__overflow,165,1192,1310521747,0,1,4444592,1192,145211951347,0,1,999999999999,999999999999,999999999999
98,__stdout_write,60,1008,1314967459,0,1,3069857,1008,145211953197,0,1,999999999999,999999999999,999999999999
97,__isatty,103,968,1318038106,0,1,3120618,968,145211954167,0,1,999999999999,999999999999,999999999999
72,__wasi_fd_fdstat_get,18,824,1321159414,0,1,1930205,824,145211955297,0,1,999999999999,999999999999,999999999999
94,__stdio_write,316,1368,1323095689,0,2,7307528,1368,145211963857,0,2,999999999999,999999999999,999999999999
93,writev,115,984,1330404228,0,2,3075628,984,145211965347,0,2,999999999999,999999999999,999999999999
74,__wasi_fd_write,22,824,1333481246,0,2,1935545,824,145211966517,0,2,999999999999,999999999999,999999999999
24,snappy_uncompressed_length,18,824,1335451601,0,1,1895714,824,145212007517,0,1,999999999999,999999999999,999999999999
11,"snappy::GetUncompressedLength(char const*, unsigned long, unsigned long*)",190,712,1337348225,0,2,4352171,712,145212008367,0,2,999999999999,999999999999,999999999999
23,snappy_uncompress,110,1088,1341701866,0,1,3550259,1088,145212011027,0,1,999999999999,999999999999,999999999999
15,"snappy::RawUncompress(char const*, unsigned long, char*)",85,984,1345253535,0,1,2645347,984,145212013467,0,1,999999999999,999999999999,999999999999
16,"snappy::RawUncompress(snappy::Source*, char*)",622,2384,1347899792,0,1,12509992,2384,145212014657,0,1,999999999999,999999999999,999999999999
17,void snappy::SnappyDecompressor::DecompressAllTags<snappy::SnappyArrayWriter>(snappy::SnappyArrayWriter*),1562,3608,1360412354,0,1,28097441,3608,145212033887,0,1,999999999999,999999999999,999999999999
13,snappy::SnappyDecompressor::RefillTag(),623,2456,1388511055,0,4,12213211,2456,145212035507,0,4,999999999999,999999999999,999999999999
19,"std::__2::pair<unsigned char const*, long> snappy::DecompressBranchless<char*>(unsigned char const*, unsigned char const*, long, char*, long)",1343,2728,1400726826,70000000,6135,21217753,2728,145212040767,11440000000,6135,999999999999,999999999999,999999999999
113,memmove,1218,2168,1490343612,0,2,25201954,2168,156769499037,0,2,999999999999,999999999999,999999999999
20,"snappy::(anonymous namespace)::IncrementalCopy(char const*, char*, char*, char*)",563,2064,1515550236,0,1,14620207,2064,156769508466,0,1,999999999999,999999999999,999999999999
82,printf,60,912,1530176453,0,3,2326006,912,156769532107,0,3,999999999999,999999999999,999999999999
105,vfprintf,398,1568,1532503389,0,3,7043718,1568,156769533137,0,3,999999999999,999999999999,999999999999
106,printf_core,9070,18952,1539548107,0,6,213149260,18952,156769534887,0,6,999999999999,999999999999,999999999999
86,__fwritex,234,1368,1752700466,0,15,7604088,1368,156769564107,0,15,999999999999,999999999999,999999999999
107,pop_arg,565,1808,1760307116,0,3,5856685,1808,156769572807,0,3,999999999999,999999999999,999999999999
80,__wasm_call_dtors,15,864,1766170241,0,1,1769534,864,156769646767,0,1,999999999999,999999999999,999999999999
79,dummy,3,512,1767940665,0,1,1319773,512,156769647187,0,1,999999999999,999999999999,999999999999
84,__stdio_exit,388,1712,1769261238,0,1,8178251,1712,156769647597,0,1,999999999999,999999999999,999999999999
83,__ofl_lock,10,520,1777440779,0,1,1474974,520,156769648327,0,1,999999999999,999999999999,999999999999
