id,name,size.bytecode,size.static,start.jit,exec.jit,freq.jit,compilation.jit,size.dynamic.jit,start.interp,exec.interp,freq.interp,exec.spec,compilation.spec,size.dynamic.spec
9,_start,70,976,58150,0,0,4329891,976,58970,0,0,999999999999,999999999999,999999999999
8,__wasm_call_ctors,3,512,4388801,0,1,1510533,512,62290,0,1,999999999999,999999999999,999999999999
137,__main_void,214,1400,5899994,0,1,5006173,1400,62700,0,1,999999999999,999999999999,999999999999
139,__wasi_args_sizes_get,18,824,10906907,0,1,1934545,824,64330,0,1,999999999999,999999999999,999999999999
131,malloc,12,808,12844932,60000000,4000023,1817925,808,68090,280000000,4000023,999999999999,999999999999,999999999999
132,dlmalloc,6541,9304,14663527,40000000,4000024,100125452,9304,70820,7010000000,4000024,999999999999,999999999999,999999999999
135,calloc,108,984,114797769,0,1,3644969,984,88350,0,1,999999999999,999999999999,999999999999
196,memset,393,1200,118443538,1220000000,70000056,9167283,1200,91780,74710000000,70000056,999999999999,999999999999,999999999999
138,__wasi_args_get,18,816,127612261,0,1,1791734,816,93270,0,1,999999999999,999999999999,999999999999
130,main,174,1624,129405736,0,1,3697720,1624,94570,0,1,999999999999,999999999999,999999999999
118,speed2,189,1248,133104346,0,1,4297350,1248,95060,0,1,999999999999,999999999999,999999999999
102,wg_attach_database,352,1456,137402406,0,13,5051453,1456,95780,0,13,999999999999,999999999999,999999999999
103,wg_attach_memsegment,824,2184,142454619,0,13,12796462,2184,96660,0,13,999999999999,999999999999,999999999999
191,strtol,125,1112,155252901,0,20,3437959,1112,99670,0,20,999999999999,999999999999,999999999999
188,__shlim,73,608,158691720,0,20,2680947,608,100400,0,20,999999999999,999999999999,999999999999
190,__intscan,1635,3464,161373357,0,20,28498391,3464,105800,10000000,20,999999999999,999999999999,999999999999
147,sbrk,79,888,189874268,0,2,2916537,888,113090,0,2,999999999999,999999999999,999999999999
10,wg_init_db_memsegment,2866,5232,192797776,0,9,33525634,5232,122150,0,9,999999999999,999999999999,999999999999
11,init_db_subarea,259,1192,226342460,0,54,4943693,1192,312760,0,54,999999999999,999999999999,999999999999
12,init_subarea_freespace,700,1312,231311223,0,117,8216211,1312,816622,0,117,999999999999,999999999999,999999999999
13,init_strhash_area,305,1576,239530634,0,9,5550804,1576,821662,0,9,999999999999,999999999999,999999999999
14,init_syn_vars,235,1128,254064680,0,9,4671152,1128,9765314,0,9,999999999999,999999999999,999999999999
