id,name,size.bytecode,size.static
8,__wasm_call_ctors,3,512
9,_start,70,976
10,wg_init_db_memsegment,2866,5232
11,init_db_subarea,259,1192
12,init_subarea_freespace,700,1312
13,init_strhash_area,305,1576
14,init_syn_vars,235,1128
15,wg_alloc_fixlen_object,643,1904
16,wg_free_listcell,34,552
17,wg_free_shortstr,34,552
18,wg_free_word,35,552
19,wg_free_doubleword,35,552
20,wg_free_tnode,36,552
21,wg_alloc_gints,1625,3328
22,split_free,573,1152
23,wg_freebuckets_index,345,872
24,wg_free_object,1571,2960
25,wg_create_hash,283,1248
26,wg_compare,1013,3920
27,wg_create_record,52,920
28,wg_create_raw_record,174,1104
29,show_data_error_nr,208,1384
30,wg_delete_record,421,1624
31,show_data_error,187,1328
32,wg_get_encoded_type,208,1480
33,free_field_encoffset,213,1704
34,wg_decode_record,53,872
35,wg_get_first_record,129,1056
36,wg_get_next_raw_record,356,1232
37,wg_get_next_record,36,920
38,wg_get_record_len,59,880
39,wg_get_record_dataarray,54,872
40,show_data_error_str,208,1384
41,restore_backlink_index_entries,297,1368
42,wg_encode_record,55,872
43,wg_set_new_field,611,1816
44,wg_encode_int,140,1072
45,wg_encode_double,320,1624
46,wg_encode_unistr,255,1376
47,wg_encode_str,88,936
48,wg_decode_int,108,944
49,wg_get_field,112,920
50,wg_free_encoded,120,960
51,wg_encode_null,66,880
52,wg_decode_char,55,872
53,wg_decode_double,103,936
54,wg_decode_fixpoint,109,1136
55,wg_decode_date,84,912
56,wg_decode_time,85,912
57,find_create_longstr,460,1760
58,wg_decode_str,129,920
59,wg_decode_str_len,181,1072
60,wg_decode_str_lang,182,1016
61,wg_decode_xmlliteral,129,920
62,wg_decode_xmlliteral_len,181,1072
63,wg_decode_xmlliteral_xsdtype,187,1008
64,wg_decode_xmlliteral_xsdtype_len,201,1088
65,wg_decode_uri,129,920
66,wg_decode_uri_len,181,1072
67,wg_decode_uri_prefix,186,1008
68,wg_decode_blob,129,920
69,wg_decode_blob_len,196,1056
70,wg_decode_var,76,888
71,wg_hash_typedstr,140,648
72,wg_find_strhash_bucket,65,1040
73,wg_right_strhash_bucket,166,1240
74,wg_remove_from_strhash,551,1888
75,wg_decode_for_hashing,717,3256
76,wg_idxhash_store,427,1656
77,wg_idxhash_remove,367,1504
78,show_hash_error,187,1328
79,wg_idxhash_find,189,1152
80,wg_search_ttree_leftmost,202,1384
81,wg_search_ttree_rightmost,201,1384
82,wg_search_tnode_first,118,1136
83,wg_search_tnode_last,126,1104
84,show_index_error,187,1328
85,hash_extend_prefix,238,1552
86,show_index_error_nr,208,1384
87,hash_recurse,296,1672
88,wg_match_template,185,1424
89,wg_create_index,66,928
90,wg_create_multi_index,1636,3376
91,add_index_template,593,2352
92,create_hash_index,634,2856
93,create_ttree_index,213,1408
94,insert_into_list,74,952
95,ttree_add_row,2022,4680
96,wg_index_add_field,1081,4216
97,db_rotate_ttree,1263,3152
98,wg_index_add_rec,616,2792
99,ttree_remove_row,2495,4648
100,wg_index_del_rec,624,2792
101,wg_init_locks,242,1056
102,wg_attach_database,352,1456
103,wg_attach_memsegment,824,2184
104,wg_print_header_version,485,1496
105,wg_detach_database,14,824
106,wg_delete_database,156,1096
107,wg_create_mpool,183,1144
108,wg_free_mpool,82,992
109,wg_alloc_mpool,450,1512
110,wg_make_query,22,824
111,internal_build_query,3189,8832
112,find_ttree_bounds,854,2624
113,wg_fetch,779,2072
114,wg_free_query,69,1032
115,check_arglist,364,2792
116,wg_encode_query_param_int,148,1064
117,error_callback,36,832
118,speed2,189,1248
119,speed3,189,1248
120,speed4,202,1320
121,speed5,322,1816
122,speed6,334,1760
123,speed7,334,1760
124,speed8,325,1904
125,speed10,220,1432
126,speed11,200,1464
127,speed13,258,1576
128,speed15,265,1640
129,speed16,206,1488
130,main,174,1624
131,malloc,12,808
132,dlmalloc,6541,9304
133,free,12,808
134,dlfree,1698,2224
135,calloc,108,984
136,_Exit,13,792
137,__main_void,214,1400
138,__wasi_args_get,18,816
139,__wasi_args_sizes_get,18,824
140,__wasi_fd_close,16,824
141,__wasi_fd_fdstat_get,18,824
142,__wasi_fd_read,22,824
143,__wasi_fd_seek,22,824
144,__wasi_fd_write,22,824
145,__wasi_proc_exit,12,792
146,abort,5,504
147,sbrk,79,888
148,dummy,3,512
149,__wasm_call_dtors,15,864
150,exit,25,896
151,__stdio_exit,389,1712
152,__toread,134,1056
153,__uflow,85,1032
154,close,34,864
155,__isatty,103,968
156,__lseek,101,976
157,__stdio_seek,18,840
158,writev,115,984
159,__stdio_write,316,1368
160,readv,114,984
161,read,114,984
162,__stdio_read,253,1224
163,__stdio_close,14,840
164,fprintf,56,904
165,__towrite,94,624
166,__overflow,165,1192
167,fputs,38,944
168,__fwritex,234,1368
169,fwrite,278,1384
170,__ofl_lock,9,520
171,printf,60,912
172,puts,109,984
173,snprintf,58,912
174,__stdout_write,60,1008
175,dummy,5,512
176,__lctrans,13,808
177,strerror,87,904
178,wcrtomb,311,856
179,wctomb,26,848
180,frexp,145,1200
181,vfprintf,398,1568
182,printf_core,9070,18952
183,pop_arg,565,1808
184,pad,159,1168
185,long_double_not_supported,30,856
186,vsnprintf,180,1152
187,sn_write,184,1176
188,__shlim,73,608
189,__shgetc,228,1136
190,__intscan,1635,3464
191,strtol,125,1112
192,memchr,371,800
193,memcmp,75,584
194,memcpy,1000,1824
195,memmove,1218,2168
196,memset,393,1200
197,strcmp,105,600
198,strlen,178,648
199,strnlen,27,880
200,__multi3,116,640
